,TS代码,股票代码,股票名称,行业
1464,300003.SZ,300003,乐普医疗,医疗保健
1465,300004.SZ,300004,南风股份,电气设备
1466,300005.SZ,300005,探路者,服饰
1467,300006.SZ,300006,莱美药业,化学制药
1468,300007.SZ,300007,汉威科技,电器仪表
1469,300008.SZ,300008,天海防务,船舶
1470,300009.SZ,300009,安科生物,生物制药
1471,300010.SZ,300010,豆神教育,软件服务
1472,300011.SZ,300011,鼎汉技术,运输设备
1473,300012.SZ,300012,华测检测,电器仪表
1474,300013.SZ,300013,新宁物流,仓储物流
1475,300014.SZ,300014,亿纬锂能,电气设备
1476,300015.SZ,300015,爱尔眼科,医疗保健
1477,300016.SZ,300016,北陆药业,中成药
1478,300017.SZ,300017,网宿科技,电信运营
1479,300018.SZ,300018,中元股份,电气设备
1480,300019.SZ,300019,硅宝科技,化工原料
1481,300020.SZ,300020,银江股份,软件服务
1482,300021.SZ,300021,大禹节水,农业综合
1483,300022.SZ,300022,吉峰科技,农用机械
1484,300023.SZ,300023,*ST宝德,专用机械
1485,300024.SZ,300024,机器人,专用机械
1486,300025.SZ,300025,华星创业,通信设备
1487,300026.SZ,300026,红日药业,中成药
1488,300027.SZ,300027,华谊兄弟,影视音像
1489,300029.SZ,300029,*ST天龙,专用机械
1490,300030.SZ,300030,阳普医疗,医疗保健
1491,300031.SZ,300031,宝通科技,互联网
1492,300032.SZ,300032,金龙机电,元器件
1493,300033.SZ,300033,同花顺,软件服务
1494,300034.SZ,300034,钢研高纳,小金属
1495,300035.SZ,300035,中科电气,电气设备
1496,300036.SZ,300036,超图软件,软件服务
1497,300037.SZ,300037,新宙邦,化工原料
1498,300038.SZ,300038,*ST数知,互联网
1499,300039.SZ,300039,上海凯宝,中成药
1500,300040.SZ,300040,九洲集团,电气设备
1501,300041.SZ,300041,回天新材,化工原料
1502,300042.SZ,300042,朗科科技,IT设备
1503,300043.SZ,300043,星辉娱乐,文教休闲
1504,300044.SZ,300044,*ST赛为,软件服务
1505,300045.SZ,300045,华力创通,IT设备
1506,300046.SZ,300046,台基股份,半导体
1507,300047.SZ,300047,天源迪科,软件服务
1508,300048.SZ,300048,合康新能,电气设备
1509,300049.SZ,300049,福瑞股份,医疗保健
1510,300050.SZ,300050,世纪鼎利,软件服务
1511,300051.SZ,300051,ST三五,互联网
1512,300052.SZ,300052,中青宝,互联网
1513,300053.SZ,300053,欧比特,半导体
1514,300054.SZ,300054,鼎龙股份,化工原料
1515,300055.SZ,300055,万邦达,环境保护
1516,300056.SZ,300056,中创环保,环境保护
1517,300057.SZ,300057,万顺新材,广告包装
1518,300058.SZ,300058,蓝色光标,广告包装
1519,300059.SZ,300059,东方财富,证券
1520,300061.SZ,300061,旗天科技,互联网
1521,300062.SZ,300062,中能电气,电气设备
1522,300063.SZ,300063,天龙集团,互联网
1523,300064.SZ,300064,*ST金刚,矿物制品
1524,300065.SZ,300065,海兰信,软件服务
1525,300066.SZ,300066,三川智慧,电器仪表
1526,300067.SZ,300067,安诺其,染料涂料
1527,300068.SZ,300068,南都电源,电气设备
1528,300069.SZ,300069,金利华电,电气设备
1529,300070.SZ,300070,碧水源,环境保护
1530,300071.SZ,300071,*ST嘉信,广告包装
1531,300072.SZ,300072,三聚环保,环境保护
1532,300073.SZ,300073,当升科技,矿物制品
1533,300074.SZ,300074,华平股份,通信设备
1534,300075.SZ,300075,数字政通,软件服务
1535,300076.SZ,300076,GQY视讯,IT设备
1536,300077.SZ,300077,国民技术,半导体
1537,300078.SZ,300078,思创医惠,软件服务
1538,300079.SZ,300079,数码视讯,通信设备
1539,300080.SZ,300080,易成新能,电气设备
1540,300081.SZ,300081,恒信东方,文教休闲
1541,300082.SZ,300082,奥克股份,化工原料
1542,300083.SZ,300083,创世纪,元器件
1543,300084.SZ,300084,海默科技,石油开采
1544,300085.SZ,300085,银之杰,软件服务
1545,300086.SZ,300086,康芝药业,化学制药
1546,300087.SZ,300087,荃银高科,种植业
1547,300088.SZ,300088,长信科技,元器件
1548,300089.SZ,300089,文化长城,文教休闲
1549,300091.SZ,300091,金通灵,机械基件
1550,300092.SZ,300092,科新机电,专用机械
1551,300093.SZ,300093,金刚玻璃,玻璃
1552,300094.SZ,300094,国联水产,渔业
1553,300095.SZ,300095,华伍股份,机械基件
1554,300096.SZ,300096,易联众,软件服务
1555,300097.SZ,300097,智云股份,电器仪表
1556,300098.SZ,300098,高新兴,通信设备
1557,300099.SZ,300099,精准信息,电器仪表
1558,300100.SZ,300100,双林股份,汽车服务
1559,300101.SZ,300101,振芯科技,通信设备
1560,300102.SZ,300102,乾照光电,半导体
1561,300103.SZ,300103,达刚控股,环境保护
1562,300105.SZ,300105,龙源技术,电器仪表
1563,300106.SZ,300106,西部牧业,农业综合
1564,300107.SZ,300107,建新股份,化工原料
1565,300108.SZ,300108,吉药控股,中成药
1566,300109.SZ,300109,新开源,化工原料
1567,300110.SZ,300110,华仁药业,化学制药
1568,300111.SZ,300111,向日葵,化学制药
1569,300112.SZ,300112,万讯自控,电器仪表
1570,300113.SZ,300113,顺网科技,互联网
1571,300114.SZ,300114,中航电测,电器仪表
1572,300115.SZ,300115,长盈精密,元器件
1573,300116.SZ,300116,保力新,电气设备
1574,300117.SZ,300117,嘉寓股份,装修装饰
1575,300118.SZ,300118,东方日升,电气设备
1576,300119.SZ,300119,瑞普生物,农业综合
1577,300120.SZ,300120,经纬辉开,元器件
